reviewer,date,title,body,rating,source,event,New Mapping for Event
Ms Allen,10/04/2018 18:33,My son went on the course at Brandonâ€¦,"My son went on the course at Brandon Marshes and produced some really fantastic photos.  He had taken photography at GCSE and was doing the Arts Award.  He thought he had learnt more with Alan than the whole of his GCSE course.  Alan provided helpful information about buying further equipment.  My son has improved his skill considerably and his love for taking photos. Can't recommend Alan enough, fantastic advice and support.",5,Trustpilot,Alan Ranger Photography,Abstract and Macro Workshop
Swoopes13,09/01/2019 23:01,interesting and useful workshop,"This was a very interesting and useful workshop. However be aware that it focuses on nature, not the bird life at Brandon Marsh. This disappointed me a little as I enjoy taking pictures of birds and was hoping for some advice, but understand that it isnâ€™t for everyone.",4,Trustpilot,Brandon Marsh Workshop,Abstract and Macro Workshop
Janet Boulter,13/02/2018 12:22,Macro masterclass fun,"Macro masterclass -  Informative and good technical content followed by practical application session. All delivered with clarity and humour as always. Alan's classes are never rigid and flex and flow with the clients needs, which always expands the scope of the event. Came away with new ideas for macro photography. Would recommend.",4,Trustpilot,Macro Class,Abstract and Macro Workshop
Dave Smith,19/08/2019 21:20,Macro Photography Training Package,Alan Ranger provided a very comprehensive and concise theory and practical training package for our group. I was able to take what I learned away from the course and make immediate improvements to my own macro photography.,5,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
Doug Goddard,06/08/2019 20:08,An enjoyable day with some goodâ€¦,An enjoyable day with some good technical advice. I would have liked more time on the practical in the field and this would have allowed more one-to-one guidance.,4,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
Judith Barnard,04/08/2019 20:09,Alan provided an excellent introductionâ€¦,Alan provided an excellent introduction to SLR/bridge camera photography with good examples.,5,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
Richard Ambrose,02/08/2019 15:42,I found Alan to be highly a  competentâ€¦,"I found Alan to be highly a  competent tutor, easily approachable, knowledgeable and patient. An enjoyable and engaging experience.",5,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
Nick Board,02/08/2019 09:53,Macro Photography Workshop,Excellent balance between theory and practical with level of detail of instruction to suit varying levels of expertise in the group Timings of session just right and good sense of humour!!,4,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
Andy Grout,02/08/2019 06:52,Enjoyable and informative....,"Alan has a really good style of delivery, able to teach to a mixed ability group all at the same time. His teaching style is relaxed but assertive. He certainly has a very extensive knowledge of his subject.",5,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
Dennis McQuillan,01/08/2019 20:49,Good tutor,"Good tutor, knows his stuff, sense of humour, what more do you want :)",5,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
Dave Smith,19/08/2019 21:20,Macro Photography Training Package,Alan Ranger provided a very comprehensive and concise theory and practical training package for our group. I was able to take what I learned away from the course and make immediate improvements to my own macro photography.,5,Trustpilot,Macro-Close-Up Workshop,Abstract and Macro Workshop
carolyne allen,12/01/2017 10:02,Brandon Marshes,Had a really great time. Alan taught me alot and was happy to share his knowledge and expertise.  The other students was very nice also.  I will definately be going on more of Alans workshops.  If you are interested in learning more about photography you should really go on one of his sessions.  J Allen,5,Trustpilot,nan,Abstract and Macro Workshop
