"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"53d3b67be4b0984ca9af4ded","1f70eef3-a6a3-4842-93a4-47d6d2cc985b","SERVICE","photography-services-near-me","black-and-white-photography-course","Professional Black and White Photography Course | Coventry","<h4 style=""white-space:pre-wrap;"">Enter the date of the event on Customer Information Notes Field when you go through the checkout process. Black and White Photography Course for beginners</h4>","SQ9709344","","","","","","","","","","","","","165.00","145.00","No","Unlimited","photography-courses","beginners-photography-course","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/b8c2a6b2-9a51-492d-a6c0-b685f5e16cc2/Beginners+Photography+Classes.png https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1721724334692-7KPD0E90A6E4YZMAR324/black+and+white+photography+course+.jpg"
"53d3bd62e4b02158d29bb1a9","297ff107-09d5-4e44-a253-51edc16a18b5","SERVICE","photography-services-near-me","lightroom-courses-for-beginners-coventry","Lightroom Courses for Beginners Photo Editing - Coventry","<h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">For those who want to implement the best workflow for image management and all the dos and don'ts of post-production with these <strong>Photo Editing Classes</strong> with Lightroom</h4><h3 style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Adobe Lightroom Classic Courses for Beginners - Coventry</h3><h3 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Summary</span></strong></h3><ul data-rte-list=""true""><li><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Location:</span></strong><span> 45 Hathaway Road, Tile Hill Village, Coventry, CV4 9HW</span></h4></li><li><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Duration: 3 Weekly 2hr Evening Classes - All evening classes are from 19:00 to 21:00</h4></li><li><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Participants:</span></strong><span> Max 3</span></h4></li><li><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Lightroom Courses<strong><span> Event Details</span></strong><span>: </span><a href=""/course-finder-photography-classes-near-me""><span>Editing Course</span></a></h4></li><li><p data-indent=""1"" style=""margin-left: 40px; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Coventry 3 wks - Tue 4 Nov - 18 Nov 2025</p></li><li><p data-indent=""1"" style=""margin-left: 40px; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Coventry 3 wks - Wed 7 Jan - 21 Jan 2026</p></li><li><p data-indent=""1"" style=""margin-left: 40px; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Coventry 3 wks - Wed 4 Mar - 18 Mar 2026</p></li><li><p data-indent=""1"" style=""margin-left: 40px; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Coventry 3 wks - Wed 13 May - 27 May 2026</p></li><li><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><span>Experience - Level: Beginners</span></h4><ul data-rte-list=""true""><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><span>The beginners Lightroom photo editing classes are aimed at anyone wishing to learn photo editing and photo management with a workflow and consistency</span></p></li></ul></li><li><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><span>Equipment Needed:</span></h4><ul data-rte-list=""true""><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><span>You will need a laptop with Adobe Lightroom Classic subscription and the App installed</span></p></li><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Alan will provide you with training Lightroom Library with images and use that to explain and then demonstrate the various tools</p></li></ul></li></ul>","SQ7526725","Option","Coventry 3 wks - Tue 4 Nov - 18 Nov 2025","","","","","","","","","","","150.00","0.00","No","3","photography-classes, photography-courses, photo editing, lightroom","coventry, lightroom course, photo editing, post-production, editing classes","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/fe40a5e1-7fa2-4057-982e-555479b97022/Lightroom+courses+-+photo+editing+course.png"
"","9da535cf-0e80-4e89-824f-ff9e0d23e7de","","","","","","SQ6831161","Option","Coventry 3 wks - Wed 7 Jan - 21 Jan 2026","","","","","","","","","","","150.00","0.00","No","3","","","","","","","",""
"","9408eef0-3d65-4a3b-9681-1b9809ac4db2","","","","","","SQ6876661","Option","Coventry 3 wks - Wed 4 Mar - 18 Mar 2026","","","","","","","","","","","150.00","0.00","No","3","","","","","","","",""
"","31a5267e-e97c-4653-bb66-3cdb157a2fb0","","","","","","SQ0415856","Option","Coventry 3 wks - Wed 13 May - 27 May 2026","","","","","","","","","","","150.00","0.00","No","3","","","","","","","",""
"53d3be3be4b0498d331bd7a9","aca00ae0-63d7-4198-b19a-222c4e745e3d","SERVICE","photography-services-near-me","rps-mentoring-photography-course","RPS Courses - Independent RPS Mentoring for RPS Distinctions","<h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelve months at intervals to suit you</h4><h3 style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>RPS Courses - Mentoring for Distinctions</strong></h3><ul data-rte-list=""true""><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Participants:</strong>  Via Zoom online in a group of max 3, or on 1-2-1 basis.</p></li><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Equipment Needed: </strong></p><ul data-rte-list=""true""><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Zoom App</p></li><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Dropbox App used for updated portfolios and images</p></li></ul></li><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Terms:</strong> Sessions must be taken within 12 months of booking the course or forfeited, but there are options to extend the timeline and retain unused classes or add additional classes.</p></li><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Method:</strong></p><ul data-rte-list=""true""><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Technical and creative critique with suggestions for improvement</p></li><li><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Advice on image selection and panel layout</p></li></ul></li></ul><p class="""" style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">More Details about the <a href=""/rps-courses-mentoring-distinctions""><u>RPS Mentoring Course</u></a></p><p class="""" style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>*Note</strong>: Your tutor, Alan Ranger, holds both the RPS's Licentiate and Associate Distinctions, but the RPS does not accredit this Course. This is not an approved course or endorsed by the RPS as an organisation. Alan’s advice is private, unofficial and based on his experience and understanding of the elements required to reach the standard that may result in being awarded a distinction without any guarantee.</p>","SQ3499847","Course","RPS Distinctions Course - 6 Sessions","","","","","","","","","","","295.00","0.00","No","7","1-2-1-private-lessons, photography-classes, photography-courses, photography-tuition, rps","coventry, or-online, rps mentoring, rps qualifications, mentoring","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1707307452323-G3C2AIXAHRLLVB36VASA/RPS+Courses.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1707307329135-PI84D5RUPHKU84WGVV9D/RPS+Courses.png https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1707307630824-K798LA68I47KZRW4379Y/RPS+Courses+-+Distinctions+Mentoring.png"
"","c629b54c-f01c-4c4e-9f26-e2c667e7182a","","","","","","SQ5925235","Course","RPS Extend 6 Months (No Extra Sessions)","","","","","","","","","","","75.00","0.00","No","Unlimited","","","","","","","",""
"","2e30472d-8510-4e80-b95f-ab466b0db1c3","","","","","","SQ1898169","Course","RPS Extend 2 classes within 3 months","","","","","","","","","","","75.00","0.00","No","Unlimited","","","","","","","",""
"","b7b87f98-8ebf-427d-a247-a89d9c767ede","","","","","","SQ7296901","Course","RPS Extend 4 classes within 6 months","","","","","","","","","","","125.00","0.00","No","Unlimited","","","","","","","",""
"","8adaf700-8a13-40eb-9cbe-451e0ecf7a9c","","","","","","SQ4136369","Course","RPS Extend 6 classes 12 months Extra","","","","","","","","","","","150.00","0.00","No","Unlimited","","","","","","","",""
