Event_Title,Start_Date,Start_Time,End_Date,End_Time,Category,Tags,Excerpt,Location_Business_Name,Location_Address,Location_City_State_ZIP,Event_URL,Event_Image,Text_Block,Published_Date,Workflow_State
Suffolk Landscape Photography Workshop - Long Exposure,2025-11-21,09:30:00,2025-11-23,14:30:00,2-5-days,,"21/11/2025Suffolk Landscape Photography Workshop. Coastline and long exposures - learn how to compose, practise long exposure and when B&amp;W works better.",Suffolk,"Southwold,, IP18 6EJ, United Kingdom",IP18 6EJ,https://www.alanranger.com/photographic-workshops-near-me/suffolk-landscape-photography-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715078273140-XM8AQE8L1BX1V7RQSKKE/Southwold+Pier+%2301+-+Feb+2024.jpg,,2025-01-24 08:27:42,Published
"Wales Photography Workshop Pistyll Rhaeadr and Lake Vyrnwy ",2025-11-29,09:30:00,2025-11-30,15:00:00,2-5-days,wales,"29/11/2025Wales Photography workshop - Valleys, rivers, lakes, mountains, woodlands and waterfalls | Join me on this exciting, varied 2-day photography event",Wales - Dee Valley,"LL20 7LD, United Kingdom",LL20 7LD,https://www.alanranger.com/photographic-workshops-near-me/wales-photography-workshop-vyrnwy-pistyll-rhaeadr,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1538936266800-X7E25G1Y68K21JET6YMU/Lake+Vyrnwy+-Photography-Workshops.jpg,,2025-04-01 09:51:37,Published
Woodland Photography Walk | Solihull | Hay Woods - Winter,2025-12-05,09:30:00,2025-12-05,11:30:00,2.5hrs-4hrs,,05/12/2025Woodland Photography Walk - Enjoy and learn in a 2hr informal walk through woodlands with any camera under the support of a professional Photographer,Solihull,"Haywood Ln, Rowington, England, CV35 7JQ, United Kingdom",CV35 7JQ,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-solihull-hay-woods,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1709978483227-AGNBKSFNJEJ0VP2ERGWQ/Down+Under.jpg,,2025-11-04 18:18:44,Published
"Woodland Photography Walk - Coventry - Tile Hill Wood ",2025-12-08,09:30:00,2025-12-08,11:30:00,2.5hrs-4hrs,,08/12/2025Woodland Photography Walk - Enjoy and learn in a 2hr informal walk through woodlands with any camera under the support of a professional Photographer,Coventry,"Banner Lane, Coventry, United Kingdom",Coventry,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-coventry-tile-hill,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1709978483227-AGNBKSFNJEJ0VP2ERGWQ/Down+Under.jpg,"

<div class=""sqs-html-content"" data-sqsp-text-block-content="""">
  <h3 style=""white-space:pre-wrap;""><strong>Location - Woodland Photography Walk</strong></h3><h3 style=""white-space:pre-wrap;"">Tile Hill Wood - Coventry</h3>
</div>




















  
  



",2025-11-04 18:18:50,Published
Woodland Photography Walk - Solihull - Hay Woods - Winter,2026-01-02,09:30:00,2026-01-02,11:30:00,2.5hrs-4hrs,,02/01/2026Woodland Photography Walk - Enjoy and learn in a 2hr informal walk through a woodland with a camera under the support of a professional photographer,Solihull,"Haywood Ln, Rowington, England, CV35 7JQ, United Kingdom",CV35 7JQ,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-hay-woods,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1709978483227-AGNBKSFNJEJ0VP2ERGWQ/Down+Under.jpg,,2025-11-04 18:18:57,Published
The Secrets of Woodland Photography - 1-Day Masterclass 11-1,2026-01-11,10:00:00,2026-01-11,16:00:00,1-day,,"11/01/2026Coventry - The Secrets of Woodland Photography - open to all levels, experience, and camera.  1-Day Masterclass combining theory and practicals.",Coventry,"45 Hathaway Road, Coventry, England, CV4 9HP, United Kingdom",CV4 9HP,https://www.alanranger.com/photographic-workshops-near-me/secrets-of-woodland-photography-masterclass-winter,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1687442036373-6Q6GKKLKEX4UZ00OFCMU/Plant%2BHill%2BWoods%2B%252311%2B-%2BJan%2B2022.jpg,,2025-11-04 18:19:02,Published
" Dorset Photography Workshop | Jurassic Coast Photography",2026-01-16,14:00:00,2026-01-18,14:00:00,2-5-days,,"16/01/2026Dorset Photography Workshop - Learn how to photograph the coastline with award-winning, professional photographer Alan Ranger on this Jurassic Coast",Dorset,"wareham, BH20 4AB, United Kingdom",BH20 4AB,https://www.alanranger.com/photographic-workshops-near-me/dorset-photography-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1546347241014-RTAHXH3JAKUBFBF94325/durdle+door-Photography-Workshops.jpg,,2025-03-20 10:36:59,Published
Lake District Photography Workshop | Winter in Cumbria,2026-01-23,09:30:00,2026-01-25,14:30:00,2-5-days,,23/01/2026Lake District Photography Workshop - Enjoy the iconic Cumbrian scenes in winter with snow-topped mountains and frosty/frozen vistas.| Join Now,Lake District,"B5291, England, CA12 4RE, United Kingdom",CA12 4RE,https://www.alanranger.com/photographic-workshops-near-me/lake-district-photography-workshop-winter,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1691231609767-VEBH04YA7HAYTMU55D5D/Friars%2BCrag.jpg,,2025-01-24 08:27:50,Published
Gower Peninsula Photo Workshop - Landscape Photography Wales,2026-01-30,10:00:00,2026-02-01,14:00:00,2-5-days,wales,30/01/2026Gower Peninsular Landscape Photography Wales Workshop -photo workshop for long exposures from dawn to dusk to get iconic images of the Welsh coast,wales - Gower Peninsular,"Melin y Parc, Cymru, SA3 2EH, United Kingdom",SA3 2EH,https://www.alanranger.com/photographic-workshops-near-me/landscape-photography-wales-gower-peninsular,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715702651783-0ANOHJQAGONUXKLRV1TM/Gower+%2311+-+May+2024.jpg,,2025-01-24 08:28:02,Published
Woodland Photography Walk - Coventry Tile Hill NR - Winter,2026-02-02,09:30:00,2026-02-02,11:30:00,2.5hrs-4hrs,,02/02/2026Woodland Photography Walk - Enjoy and learn in a 2hr informal walk through woodland NR with a camera under the support of a professional Photographer,Coventry,"Banner Lane, Coventry, United Kingdom",Coventry,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-coventry-cv4,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1709978483227-AGNBKSFNJEJ0VP2ERGWQ/Down+Under.jpg,"

<div class=""sqs-html-content"" data-sqsp-text-block-content="""">
  <h3 style=""white-space:pre-wrap;""><strong>Location - Woodland Photography Walk</strong></h3><h3 style=""white-space:pre-wrap;"">Tile Hill Wood - Coventry</h3>
</div>




















  
  



",2025-04-18 11:08:30,Published
