reviewer,rating,review,date,source,reference_id
kim pratt,FIVE,"A wonderful experience, Alan is very knowledgeable man. I came away with  valuable knowledge to practice at home with how to work around Marco photography.",2025-11-08,Google,
Jill Bowman,FIVE,,2025-10-28,Google,
Simon Worledge,FIVE,Alan clearly has a great enthusiasm for photography that he loves to share. He easily adapts his teaching style to suit each person’s individual needs. (Now if he could just get a better line through to the weather gods…),2025-10-27,Google,
James Collins,FIVE,Learned a lot,2025-10-26,Google,
supriya s m,FIVE,"Great learning experience, Alan has been good guide and help clarify what exactly needed",2025-10-26,Google,
Chris Franklin,FIVE,"Excellent day, really enjoyed the support and input for Alan. Helped to blow off the dust",2025-10-26,Google,
Orr Shachar,FIVE,Great guidance and expertise - highly recommended,2025-10-26,Google,
Neil W,FIVE,"Recently I attended a photography workshop with Alan at Batsford Arboretum.  The focus of the session concentrated on composition, aiming to make you think about the photograph you have in mind.  Alan has a wealth of knowledge and has the knack of being able to explain topics in an easy to understand way pitching at the right level - he’s very happy to take questions and encourages engagement.  A very positive experience, I enjoyed my afternoon taking on board the hints and tips that Alan provided.  Thank you.",2025-10-25,Google,
Ross HK,FIVE,Great Workshop at Batsford. Really helped with understanding composition and a great landscape to work in. Thanks Alan!,2025-10-25,Google,
Tim Chance,FIVE,"Great experience in a lovely location at Batsford Arboretum photographing the amazing autumn colours. Alan knows his stuff and the arboretum well so was able to guide us to some great locations and offer tips on composition, light and observation.",2025-10-24,Google,
jezjerome,FIVE,Outstanding instructor wise a very easy going approach I can highly recommend,2025-10-24,Google,
Nicholas Barber,FIVE,"I had a 1h 1:1 online mentoring session with Alan to sort out how to deal with my images on a long holiday. He was brilliant, clear instructions and a 2 page accurate summary of our conversation followed the same day.",2025-10-24,Google,
Atmos,FIVE,I really enjoyed Alan’s beginner photography course. I have been taking photos for a couple of years but learned a lot in three sessions. I’m more informed on how to create better images now.,2025-10-20,Google,
Dr. Yumna I S,FIVE,Very informative and a great way to start as a beginner. Learnt alot and got good feedback on assignments. Definitely recommend. 👍,2025-10-20,Google,
Dianne Morgan,FIVE,Excellent interactive workshops to get to grips with the basics.,2025-10-20,Google,
Philip Hart,FOUR,I had a day with Alan in the Peak district. We went to two locations that gave  varied types of subject. It helped me with understanding some of the technical aspects to consider when taking photos and the importance of composition. I came away with a more critical view of my own work which I feel is a good thing.,2025-10-20,Google,
Neil Barford,FIVE,"Alan has a great teaching approach , allowing you to develop your own style and offers alternatives , and different techniques. This allows you to think more deeply about your photography and seek out the best positions at a location, rather than just parking you at the ideal spot.",2025-10-20,Google,
Ergin Taşdelen,FIVE,Great Photography lessons with Alan! The lessons were inspiring and well-structured. I learned new techniques that made a real difference in my photography.,2025-10-16,Google,
MuraliMohan SR,FIVE,"Fun, informative, and perfect for beginners.",2025-10-16,Google,
Anisha Gohil,FIVE,An insightful session on Lightroom course. Will be implementing this into our teaching practice.,2025-10-09,Google,
Jack Ranger,FIVE,,2025-10-05,Google,
Bassam Al Jazy,FIVE,"I recently attended the Landscape Photography Devon Workshop with Mr. Alan Ranger, and it was an outstanding experience from start to finish. The workshop was well-organized, with a detailed schedule and excellent information about each location — including the best times for sunrise, sunset, high tide, and low tide. Everything we needed to know was clearly explained and thoughtfully planned.  The choice of locations was perfect for training and practice. Each spot offered unique opportunities to experiment with composition, light, and timing. I must admit, I learned a lot of useful techniques, creative ideas, and ways to think differently about each shot — especially the importance of being patient and waiting for the right moment.  There were only three of us in total, which made the experience even more personal and interactive. I also learned a great deal from my fellow participants. The commuting distances between locations were short and comfortable, and Alan proved to be not only an excellent tutor but also an excellent driver!  Overall, this workshop was both educational and inspiring. I’m truly grateful for the experience and hope to join Alan again for more workshops in other locations.",2025-10-04,Google,
Derek Butt,FIVE,"Hartland Quay 25-28 September 2025. My first photography workshop, and was a great experience.  Hotel very comfortable, good breakfasts and restaurant for dinners.  The locations chosen for shooting provided opportunities for landscape, seascape and intimate landscapes.  Alan gave analysis of images taken, advised changes to improve images and reviews of the results from each location, and kept us moving along.",2025-10-01,Google,
John Kitteringham,FIVE,Very enjoyable weekend landscape photography workshop with Alan in the Lake District.  Despite some challenging weather conditions I learnt an enormous amount and had a lot of fun.,2025-10-01,Google,
Sandra Dawkes,FIVE,"A few days prior to the evening workshop Alan sent through a 2 page worksheet packing with useful information, which I found helpful. Alan also set the bracketing on my camera so I could compensate for the high contrast lighting.",2025-09-29,Google,
Joel Wymer,FIVE,"I joined Alan for his Beginners Course. I’ve done similar courses before but a mix of Alan’s down-to-earth, simplified and easy to follow delivery meant I learnt more about the capabilities of my camera than at any previous courses.  I highly recommend Alan for his camera courses.",2025-09-26,Google,
Clifford Katsande,FIVE,Alan provided Very Good overall experience i picked up on a lot of information on how the camera works and why we take pictures. the amount of information i have gained in the last 3 weeks alone has been surprising but very helpful i would highly recommend anyone looking to improve their photography and actually figure out why they want to take pictures spend some time with Alan,2025-09-25,Google,
KrishnaKumar Kuttan,FIVE,Sessions on Beginner’s course from Alan is very impressive in understanding on technical aspects on how camera works. Enjoyed the sessions and hopefully improve my camera skills.,2025-09-25,Google,
Cat Harris,FIVE,"Great course, lots of information and resources. Small group therefore not overlooked. Highly recommend.",2025-09-25,Google,
Britt van zeeland,FIVE,"Joined for the 3 week beginner course. Alan is super knowledgeable, I find the resources given most valuable as it allows me to revisit and expand my learning beyond what we covered in class. Could have done with the longer course I feel. Thank you",2025-09-25,Google,
Shishir Kutumbe,FIVE,Alan is knowledgeable and a very good teacher. I attended the beginner’s course which comprised of the basics of photography and provided a detailed insight about the camera modes and settings which would definitely help me to get off the ‘Auto’ mode and click better pictures. I will definitely look forward to join the workshops and highly recommend Alan’s photography courses. Thanks Alan!,2025-09-22,Google,
Sean,FIVE,Mr Ranger is a wonderful photographer and is not shy to share his vast knowledge of this subject. His articles are easy to read and even easier to follow.,2025-09-02,Google,
Anant Bhatia,FIVE,,2025-09-01,Google,
Joanne Tapp,FIVE,"A great Workshop - I now have the confidence to move from using Auto to Manual with clear straightforward guidance from Alan, plus a new way of looking at composition",2025-08-29,Google,
mahta safarzadeh,FIVE,,2025-08-26,Google,
Catalina Christensen,FIVE,A fantastic free resource to learn about photography!!! Very good explanations off all the necessary concepts to get familiar with photography.,2025-08-25,Google,
Bruce Radebaugh,FIVE,"Alan's lessons are clear, concise and maybe the best on helping with excellent tips to take better photos and attract more birds .",2025-08-24,Google,
Kokab Ayesha,FOUR,,2025-08-24,Google,
Linda Newbery,FIVE,"I've been on several in-person workshops with Alan and have enjoyed all of them. He very generously provides his online Academy too: a wealth of advice on a range of topics, all invaluable for those of us who want to improve our photography skills and feel confident in a range of situations. It's much appreciated.",2021-10-28,Google,
Andrew Blaxhall,FIVE,"Great helpful material, great presentation and ideas",2025-08-24,Google,
Michael Simm,FIVE,I can’t recommend this course enough. It really does cover everything in a very comprehensive and easily digestible way. I’ve played around with photography for a lot of my life but this course gave me the opportunity to learn about the theory and also practical elements of the discipline. I’d definitely recommend purchasing the .pdf download. It’s much easier to navigate than the online course and I felt it was a good way to donate for this great resource.  Thank you Alan!!,2025-08-24,Google,
Andrew Morris,FIVE,Would highly recommend if you're thinking about taking up photography as either a hobby or profession.,2025-08-24,Google,
Iglo Losa,FIVE,"Alan was very welcoming. He sent the group landscape tips before we arrived for the workshop. On the day he gave us a print out, to reiterate the essential points, and he was very instructive, supportive and spent dedicated time with each client.",2025-08-19,Google,
Bill,FIVE,"Technically competent and shared this and his experience freely. Offered professional advice and guidance with a light touch to help me, a complete novice, feel sufficiently at ease to move off Auto. I can now to start making progress and will be back for more, because it was money well spent",2025-08-18,Google,
john simpson,FIVE,Alan is very good at what he does. John Simpson,2025-08-15,Google,
Peter Orton,FIVE,"The service and expertise is outstanding. No hesitation in recommending his services. We worked together on my photography panel for a distinction qualification with the RPS. In all areas (art craft and science) he is a true expert. In addition his character is friendly and helpful. His knowledge is extensive and constantly growing. He supports all levels of photographers.  In addition to his support, I worked with him in the field planning and photographing a number of sites, on the coast, over 3 days. Once again a superb service. Peter",2025-08-15,Google,
john simpson,FIVE,,2025-07-29,Google,
Michael Rowley,FIVE,I contacted Alan as I needed a quick turn around on a sensor clean before holiday. Alan sorted it out within a short time frame for a sensible price. Highly recommended.,2025-07-29,Google,
Anna Kopytek,FIVE,Course was excellent. An eye opener for me. Things I may have read or heard before finally put into place. Great tutor (thank you for your patience Alan 😀),2025-07-16,Google,
Sunil Prasad,FIVE,Alan' learning session is much clear and detailed,2025-07-16,Google,
Pravin Pawar,FIVE,"I had an incredible experience training with Alan. His passion for photography is truly infectious, and his ability to break down complex techniques into easy-to-understand lessons made learning both fun and effective. Whether you're a complete beginner or looking to refine your skills, he tailors each session to your level and goals.  What stood out most was his hands-on approach—plenty of practical exercises, real-time feedback, and creative challenges that helped me grow in confidence behind the camera. He also has a great eye for detail and composition, and his tips on lighting and editing were game-changers for me.  Highly recommend to anyone serious about improving their photography. Professional, patient, and inspiring—this trainer is the real deal!",2025-07-11,Google,
Soon Leong,FIVE,I had a half day session with Alan back in May for bluebell photography. Alan is very knowledgeable about the area and offer many tips for taking good pictures of the bluebells and wood in general. Would highly recommend Alan to anyone with all level of skills.,2025-07-10,Google,
Gerard Daykin,FIVE,"I had a great session. Found out more about my cameras and moving away from the ""auto"" setting. Seemed geared towards what was useful to me- with where I am with photography, not a ""standard"" pitch. Very much appreciated.",2025-07-03,Google,
Chan Jandu,FIVE,"A great day spent learning about woodland photography, in fact as a beginner, I learnt a lot more about basic photography and how to use my camera.    Highly recommend spending time with Alan to get some great tips.",2025-07-01,Google,
Stuart Hurcomb,FIVE,"I did the Bluebells session which was excellent. Alan is very knowledgabel and approachable when discussing different topics, he has a wealth of knowledge, you just need to engage and ask questions. The session was an early start and very enjoyable, just a shame the bluebell area was not as perfect as it could have been, but not Alans fault. A very good experience all round and I am keen to do other sessions.",2025-07-01,Google,
Siddharth M,FIVE,Alan is a good teacher. Great to learn new tips from Alan,2025-06-25,Google,
Mattia Tosi,FIVE,"I would recommend Alan to everyone! I've done the Beginner's Photography course, the Lightroom course and two workshops and thanks to these and Alan's coaching and honest feedback, my photography improved significantly. Thanks Alan!",2021-09-13,Google,
Richard Hoar,FIVE,"Excellent, fun and informative day workshop.  Alan has great experience and is keen to share it to help and encourage our own photographic journeys.",2025-05-30,Google,
Gillian Taylor,FIVE,Thoroughly enjoyed the workshop in the Peak District. Alan’s knowledge is excellent. The group were great to be with and we all had so many questions to ask Alan which he was more than happy to spend time with each and everyone of us to answer,2025-05-29,Google,
Shahida Badiani,FIVE,Great photography workshop with Alan. He was informative and gave 1 to 1 attention to all on the course. Learnt more with him that I did on my own in years!,2025-05-26,Google,
Paul Jackson,FIVE,"The Padley Gorge photo workshop was an excellent day. Alan guided us through various topics on photography and equipment, questions were answered with knowledge and experience, would highly recommend.",2025-05-26,Google,
Michael Auinger,FIVE,Alan is an amazing photographer! The photos are excellent and were sent on the same day (digital version). It all went really smooth. Definitely calling him again when in need for a photoshoot,2025-05-23,Google,
Murat Yavanirmak,FIVE,It was a great experience with Alan in the bluebell field. Good tips from Alan for great shots. Highly recommended.,2025-05-22,Google,
Kerrie Porter,FIVE,"I joined Alan for a long exposure photography lesson at Kenilworth Castle on a beautiful May evening. While the sunny weather wasn’t ideal for long exposure shots, the session was still fantastic. Over the course of two hours, our small group (typically allows 6 people per event) received insightful guidance from Alan, who proved to be an excellent tutor. His deep knowledge and approachable teaching style made the lesson valuable for both beginners and advanced photographers alike. He helped us set up our cameras and provided clear explanations of the fundamental principles, ensuring everyone got the most out of the experience.",2025-05-21,Google,
Chris Dunn,FIVE,"Alan is an excellent and highly knowledgeable photography tutor. I’ve learned a great deal from our online sessions, and I’m looking forward to attending some of his workshops in the near future.",2025-05-07,Google,
