product,slug,reviewCount,avgRating
Professional Black and White Photography Course | Coventry,black-and-white-photography-course,0,
Lightroom Courses for Beginners Photo Editing - Coventry,lightroom-courses-for-beginners-coventry,25,4.84
RPS Courses - Independent RPS Mentoring for RPS Distinctions,rps-mentoring-photography-course,3,5.0
Professional Digital DSLR Camera Sensor Clean | Coventry,camera-sensor-clean,4,5.0
4 x 2hr Private Photography Classes - Face to Face Coventry,four-private-photography-classes,10,4.9
Monthly Pick N Mix Subscription | Interest Free Payment Plan,monthly-pick-n-mix-subscription,2,5.0
Quarterly Pick N Mix Subscription | Interest Free Payments,quarterly-pick-n-mix-subscription,3,4.67
Annual Pick N Mix Subscription | Interest Free Payment Plan,annual-pick-n-mix-subscription,2,5.0
Monthly Photography Mentoring Sessions - Online - Zoom,monthly-online-photography-mentoring,4,5.0
Beginners Photography Course | 3 Weekly Evening Classes,beginners-photography-course,25,4.96
Intermediates Intentions Photography Project Course,intermediates-intentions-photography-project-course,5,5.0
Fine Art Photography Prints - Canvas wrap-round - Multi Size,fine-art-photography-prints-canvas,3,5.0
Fine Art Photography Prints - Unframed Prints - Multi Sizes,fine-art-photography-prints-unframed,5,4.8
Framed Fine Art Photography Prints - Multiple Sizes,framed-fine-art-photography-prints,3,5.0
Beginners Portrait Photography Course - Coventry - 1 Day,beginners-portrait-photography-course,1,5.0
Online Photography Classes 121 - Zoom - Package Options,private-online-photography-classes-zoom,11,5.0
Photo Print Preparation Service 30-min – File Check & Advice,photo-print-preparation-service-30min,0,
Premium Photography Academy Membership Subscription,premium-photography-academy-membership,15,4.8
WARWICKSHIRE Woodland PHOTOGRAPHY WALKS - Monthly - 2hrs,woodland-photography-walk-warwickshire,25,4.92
BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,batsford-arboretum-photography-workshops,25,5.0
BLUEBELL WOODLANDS Photography - Warks - 20 Apr- 01 May,bluebell-woodlands-photography-workshops,25,4.96
Photography Workshops CHESTERTON WINDMILL - Warwickshire,photography-workshops-chesterton-windmill,7,4.71
Landscape Photography DEVON Workshops - Various Dates,landscape-photography-devon-hartland-quay,4,5.0
Poppy Fields Photography Workshops | Worcestershire,poppy-fields-photography-workshops,11,4.82
FAIRY GLEN and Fairy Falls Long Exposure Photography,long-exposure-photography-workshop-fairy-glen,2,5.0
BURNHAM ON SEA Long Exposure Photography Workshop 2 May,long-exposure-photography-workshops-burnham,1,4.0
LAVENDER FIELD Photography Workshop - Gloucestershire July,photography-workshops-lavender-fields,4,4.75
LAKE DISTRICT Photography Workshops - Jan - Mar - Sep - Nov,lake-district-photography-workshop,20,5.0
"PEAK DISTRICT Photography Workshops - May, Oct and Nov",landscape-peak-district-photography-workshops-derbyshire,5,5.0
ANGLESEY Landscape Photography Workshop -  May 2026,landscape-photography-workshops-anglesey,5,4.6
NORTHUMBERLAND Photography Workshops - Feb 26 - Mar 1,coastal-northumberland-photography-workshops,9,4.78
NANT MILL Woodlands and Waterfalls Photo Workshop 30 May,landscape-photography-workshops-nant-mill,2,5.0
Landscape Photography Workshop NORFOLK - Coastal 13 - 15 Feb,landscape-photography-workshop-norfolk,4,4.75
KERRY - Southern Ireland Photography Workshop - Mar 2026,ireland-photography-workshops-dingle,2,5.0
MACRO Photography Workshops Warwickshire - Feb and Mar,abstract-and-macro-photography-workshops,8,4.75
Christmas Photography Seasonal Workshops | Warwickshire,christmas-photography-workshops,2,5.0
Landscape YORKSHIRE DALES Photography Workshop - 10 - 12 Apr,yorkshire-dales-photography-workshops,5,5.0
SUFFOLK Landscape Photography Workshops - 6th-8th Feb,suffolk-landscape-photography-workshops,5,5.0
NORTH YORKSHIRE Landscape Photography Workshop - Mar 2026,north-yorkshire-landscape-photography,5,5.0
WALES Photography Workshop | Lake Vyrnwy 30-31 May,wales-photography-workshop-pistyll-rhaeadr,3,5.0
Landscape Photography SNOWDONIA - Sat 7th - Sun 8th Mar 2026,landscape-photography-snowdonia-workshops,6,5.0
DORSET Landscape Photography Workshop Purbeck 16 - 18 Jan,dorset-landscape-photography-workshop,4,5.0
URBAN ARCHITECTURE Photography Workshops - Coventry 16 Apr,urban-architecture-photography-workshops-coventry,7,4.86
Long Exposure Photography Workshop KENILWORTH Sunset,long-exposure-photography-kenilworth,13,4.92
The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,garden-photography-workshop,3,4.33
GOWER Landscape Photography Wales - 30 Jan - 1 Feb 2026,landscape-photography-wales-photo-workshop,5,5.0
Fireworks Photography Workshop | Long Exposure | Kenilworth,fireworks-photography-workshop-kenilworth,5,4.8
EXMOOR Photography Workshop - Sat 23rd - Sun 24th May 2026,exmoor-photography-workshops-lynmouth,1,5.0
PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug,peak-district-heather-photography-workshop,4,5.0
SEZINCOTE Garden Photography Workshop - Gloucs 29 May,sezincote-garden-photography-workshop,1,5.0
"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",secrets-of-woodland-photography-workshop,22,4.86
DARTMOOR Photography Workshop - Landscapes - 9th - 11th Oct,dartmoor-photography-landscape-workshop,2,4.5
